,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Barcelona,38,31,8,1,98,24,74,99
2,Real Madrid,38,31,11,4,102,35,67,96
3,Valencia,38,21,26,9,59,40,19,71
4,Sevilla,38,19,32,13,65,49,16,63
5,Mallorca,38,18,32,12,59,44,15,62
6,Getafe,38,17,35,14,58,48,10,58
7,Villarreal,38,16,36,14,58,57,1,56
8,Ath Bilbao,38,15,37,14,50,53,-3,54
9,La Coruna,38,13,42,17,35,49,-14,47
10,Ath Madrid,38,13,42,17,57,61,-4,47
11,Espanol,38,11,43,16,29,46,-17,44
12,Osasuna,38,11,44,17,37,46,-9,43
13,Almeria,38,10,44,16,43,55,-12,42
14,Zaragoza,38,10,45,17,46,64,-18,41
15,Sp Gijon,38,9,45,16,36,51,-15,40
16,Santander,38,9,46,17,42,59,-17,39
17,Malaga,38,7,46,15,42,48,-6,37
18,Tenerife,38,9,49,20,40,74,-34,36
19,Valladolid,38,7,47,16,37,62,-25,36
20,Xerez,38,8,50,20,38,66,-28,34
