,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Real Madrid,38,29,12,3,106,41,65,93
2,Barcelona,38,28,14,4,116,37,79,90
3,Ath Madrid,38,23,21,6,70,27,43,78
4,Sevilla,38,21,25,8,69,49,20,72
5,Villarreal,38,19,28,9,56,33,23,67
6,Sociedad,38,19,31,12,59,53,6,64
7,Ath Bilbao,38,19,32,13,53,43,10,63
8,Espanol,38,15,35,12,49,50,-1,56
9,Alaves,38,14,35,11,41,43,-2,55
10,Eibar,38,15,37,14,56,51,5,54
11,Valencia,38,13,43,18,56,65,-9,46
12,Malaga,38,12,42,16,49,55,-6,46
13,Celta,38,13,44,19,53,69,-16,45
14,Las Palmas,38,10,47,19,53,74,-21,39
15,Betis,38,10,47,19,41,64,-23,39
16,La Coruna,38,8,48,18,43,61,-18,36
17,Leganes,38,8,49,19,36,55,-19,35
18,Sp Gijon,38,7,52,21,42,72,-30,31
19,Osasuna,38,4,58,24,40,94,-54,22
20,Granada,38,4,60,26,30,82,-52,20
