,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Real Madrid,38,32,8,2,121,32,89,100
2,Barcelona,38,28,13,3,114,29,85,91
3,Valencia,38,17,32,11,59,44,15,61
4,Malaga,38,17,35,14,54,53,1,58
5,Ath Madrid,38,15,35,12,53,46,7,56
6,Levante,38,16,37,15,54,50,4,55
7,Osasuna,38,13,35,10,44,61,-17,54
8,Mallorca,38,14,38,14,42,46,-4,52
9,Sevilla,38,13,39,14,48,47,1,50
10,Ath Bilbao,38,12,39,13,49,52,-3,49
11,Getafe,38,12,41,15,40,51,-11,47
12,Sociedad,38,12,41,15,46,52,-6,47
13,Betis,38,13,42,17,47,56,-9,47
14,Espanol,38,12,42,16,46,56,-10,46
15,Zaragoza,38,12,45,19,36,61,-25,43
16,Vallecano,38,13,46,21,53,73,-20,43
17,Granada,38,12,46,20,35,56,-21,42
18,Villarreal,38,9,44,15,39,53,-14,41
19,Sp Gijon,38,10,49,21,42,69,-27,37
20,Santander,38,4,53,19,28,63,-35,27
