,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Barcelona,38,26,15,3,90,36,54,87
2,Ath Madrid,38,22,22,6,55,29,26,76
3,Real Madrid,38,21,29,12,63,46,17,68
4,Valencia,38,15,30,7,51,35,16,61
5,Getafe,38,15,32,9,48,35,13,59
6,Sevilla,38,17,34,13,62,47,15,59
7,Espanol,38,14,37,13,48,50,-2,53
8,Ath Bilbao,38,13,36,11,41,45,-4,53
9,Alaves,38,13,39,14,39,50,-11,50
10,Betis,38,14,40,16,44,52,-8,50
11,Sociedad,38,13,39,14,45,46,-1,50
12,Eibar,38,11,40,13,46,50,-4,47
13,Leganes,38,11,42,15,37,43,-6,45
14,Villarreal,38,10,42,14,49,52,-3,44
15,Levante,38,11,43,16,59,66,-7,44
16,Valladolid,38,10,45,17,32,51,-19,41
17,Celta,38,10,45,17,53,62,-9,41
18,Girona,38,9,48,19,37,53,-16,37
19,Huesca,38,7,50,19,43,65,-22,33
20,Vallecano,38,8,52,22,41,70,-29,32
