,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Barcelona,38,30,12,4,110,21,89,94
2,Real Madrid,38,30,14,6,118,38,80,92
3,Ath Madrid,38,23,21,6,67,29,38,78
4,Valencia,38,22,21,5,70,32,38,77
5,Sevilla,38,23,23,8,71,45,26,76
6,Villarreal,38,16,32,10,48,37,11,60
7,Ath Bilbao,38,15,36,13,42,41,1,55
8,Celta,38,13,38,13,47,44,3,51
9,Malaga,38,14,40,16,42,48,-6,50
10,Vallecano,38,15,42,19,46,68,-22,49
11,Espanol,38,13,40,15,47,51,-4,49
12,Sociedad,38,11,41,14,44,51,-7,46
13,Elche,38,11,46,19,35,62,-27,41
14,Getafe,38,10,49,21,33,64,-31,37
15,Levante,38,9,48,19,34,67,-33,37
16,Granada,38,7,48,17,29,64,-35,35
17,La Coruna,38,7,48,17,35,60,-25,35
18,Eibar,38,9,50,21,34,55,-21,35
19,Almeria,38,8,52,22,35,64,-29,32
20,Cordoba,38,3,59,24,22,68,-46,20
