,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Ath Madrid,38,28,14,4,77,26,51,90
2,Barcelona,38,27,16,5,100,33,67,87
3,Real Madrid,38,27,16,5,104,38,66,87
4,Ath Bilbao,38,20,26,8,66,39,27,70
5,Sevilla,38,18,31,11,69,52,17,63
6,Villarreal,38,17,34,13,60,44,16,59
7,Sociedad,38,16,33,11,62,55,7,59
8,Celta,38,14,41,17,49,54,-5,49
9,Valencia,38,13,40,15,51,53,-2,49
10,Levante,38,12,40,14,35,43,-8,48
11,Malaga,38,12,43,17,39,46,-7,45
12,Vallecano,38,13,46,21,46,80,-34,43
13,Getafe,38,11,45,18,35,54,-19,42
14,Espanol,38,11,45,18,41,51,-10,42
15,Granada,38,12,47,21,32,56,-24,41
16,Almeria,38,11,47,20,43,71,-28,40
17,Elche,38,9,45,16,30,50,-20,40
18,Osasuna,38,10,47,19,32,62,-30,39
19,Valladolid,38,7,47,16,38,60,-22,36
20,Betis,38,6,57,25,36,78,-42,25
