,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Barcelona,38,30,10,2,95,21,74,96
2,Real Madrid,38,29,13,4,102,33,69,92
3,Valencia,38,21,26,9,64,44,20,71
4,Villarreal,38,18,32,12,54,44,10,62
5,Sevilla,38,17,35,14,62,61,1,58
6,Ath Bilbao,38,18,36,16,59,55,4,58
7,Ath Madrid,38,17,35,14,62,53,9,58
8,Espanol,38,15,42,19,46,55,-9,49
9,Osasuna,38,13,42,17,45,46,-1,47
10,Sp Gijon,38,11,40,13,35,42,-7,47
11,Santander,38,12,42,16,41,56,-15,46
12,Malaga,38,13,43,18,54,68,-14,46
13,Sociedad,38,14,45,21,49,66,-17,45
14,Zaragoza,38,12,43,17,40,53,-13,45
15,Levante,38,12,43,17,41,52,-11,45
16,Mallorca,38,12,44,18,41,56,-15,44
17,Getafe,38,12,44,18,49,60,-11,44
18,La Coruna,38,10,43,15,31,47,-16,43
19,Hercules,38,9,50,21,36,60,-24,35
20,Almeria,38,6,52,20,36,70,-34,30
