,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Barcelona,38,28,11,1,99,29,70,93
2,Ath Madrid,38,23,20,5,58,22,36,79
3,Real Madrid,38,22,22,6,94,44,50,76
4,Valencia,38,22,25,9,65,38,27,73
5,Villarreal,38,18,33,13,57,50,7,61
6,Betis,38,18,34,14,60,61,-1,60
7,Sevilla,38,17,35,14,49,58,-9,58
8,Getafe,38,15,36,13,42,33,9,55
9,Eibar,38,14,39,15,44,50,-6,51
10,Girona,38,14,39,15,50,59,-9,51
11,Sociedad,38,14,41,17,66,59,7,49
12,Espanol,38,12,39,13,36,42,-6,49
13,Celta,38,13,40,15,59,60,-1,49
14,Alaves,38,15,44,21,40,50,-10,47
15,Levante,38,11,41,14,44,58,-14,46
16,Ath Bilbao,38,10,43,15,41,49,-8,43
17,Leganes,38,12,45,19,34,51,-17,43
18,La Coruna,38,6,53,21,38,76,-38,29
19,Las Palmas,38,5,59,26,24,74,-50,22
20,Malaga,38,5,61,28,24,61,-37,20
